title,displayAddress,bathrooms,bedrooms,addedOn,rera,price,year,month,month_name,area
Prime location | Low Rise | Family friendly,"The Cove II Building 7, The Cove ll, Dubai Creek Harbour (The Lagoons), Dubai",2,3,2024-03-08 09:46:14+00:00,71449879715.0,5050000,2024,3,March,Dubai Creek Harbour (The Lagoons)
High Floor | Unobstructed Golf Course Views,"Golf Heights, Emirates Hills 2, Dubai",2,3,2024-03-14 07:08:40+00:00,71445548750.0,4715000,2024,3,March,Emirates Hills 2
High Floor | Smart Home | Fully Furnished,"Binghatti Canal, Business Bay, Dubai",2,0,2024-03-12 07:48:36+00:00,71404353838.0,1300000,2024,3,March,Business Bay
Breathtaking View | Best Deal | Fully Furnished,"The Address Dubai Marina, Dubai Marina, Dubai",2,3,2024-03-15 06:21:30+00:00,7127007200.0,5000000,2024,3,March,Dubai Marina
Vacant | Brand New | Multiple Units Available,"Binghatti Crest, Jumeirah Village Circle, Dubai",2,3,2024-02-27 03:25:19+00:00,71446811313.0,1460000,2024,2,February,Jumeirah Village Circle
Fully Upgraded | 3Br | Large Balcony | VOT,"The Views 1, The Views, Dubai",2,3,2024-03-08 07:50:15+00:00,7115323700.0,3000000,2024,3,March,The Views
Brand New | Amazing View | Corner Unit,"Binghatti Heights, Jumeirah Village Circle, Dubai",2,3,2024-03-12 11:22:25+00:00,71423480114.0,1670000,2024,3,March,Jumeirah Village Circle
"Most Affordable, Modern 3BR in Furjan | Q4 2024","AZIZI Pearl, Al Furjan, Dubai",2,3,2024-02-16 16:32:36+00:00,1368954078.0,1223775,2024,2,February,Al Furjan
"Open to All Nationalities, Easy Payments I Phase 2","Reeman Living, Al Shamkha, Abu Dhabi",2,3,2023-08-18 07:55:47+00:00,0.0,1148800,2023,8,August,Al Shamkha
Fully Furnished | Vacant | Marina view,"Armada Tower 3, Lake Elucio, Jumeirah Lake Towers, Dubai",2,3,2024-01-18 12:40:50+00:00,7122779400.0,1700000,2024,1,January,Jumeirah Lake Towers
With balcony/Sea View/ Hot deal of the Week!,"East Heights 2, Business Bay, Dubai",2,3,2024-02-26 10:17:08+00:00,7126277400.0,6000000,2024,2,February,Business Bay
Park View | Spacious Layout | Unfurnished,"Armada Tower 3, Lake Elucio, Jumeirah Lake Towers, Dubai",2,3,2024-03-15 07:16:09+00:00,7123444800.0,1850000,2024,3,March,Jumeirah Lake Towers
1% payment plan | Brand new offplan | Huge Balcony,"SquareX Residence, Jumeirah Village Circle, Dubai",2,0,2024-03-06 05:44:36+00:00,854240496.0,692064,2024,3,March,Jumeirah Village Circle
Italian style \ 1% monthly plan \ 8% ROI,"Vincitore Aqua Dimore, Dubai Science Park, Dubai",2,0,2024-02-15 07:09:17+00:00,1403606011.0,699000,2024,2,February,Dubai Science Park
Re-Sale | Prime Location | Modern |Spacious Layout,"SAFI 1A, Town Square, Dubai",2,3,2024-02-23 03:35:07+00:00,7123000074.0,1500000,2024,2,February,Town Square
Fully Furnished | Upgraded | closed kitchen,"Al Sidir 3, Al Sidir, Greens, Dubai",2,3,2024-01-22 09:22:50+00:00,7115050100.0,2350000,2024,1,January,Greens
Central Park View / Tenanted / Mid Floor,"The Nook 2, The Nook, Wasl Gate, Dubai",2,3,2023-10-18 10:35:15+00:00,71240641474.0,1450000,2023,10,October,Wasl Gate
"Vacant on transfer prime location, chiller free","Marina Wharf 2, Marina Wharf, Dubai Marina, Dubai",2,3,2024-03-05 13:28:59+00:00,7118053932.0,2100000,2024,3,March,Dubai Marina
Upscale Community | Low Premium | Serene Neighborhood,"Reeman Living, Al Shamkha, Abu Dhabi",2,3,2024-03-06 09:55:41+00:00,0.0,1120000,2024,3,March,Al Shamkha
3BR | Smart Home | Premium Location/NO Commission,"Al Mamsha, Muwaileh, Sharjah",2,3,2024-02-03 06:48:55+00:00,0.0,1499000,2024,2,February,Muwaileh
Marjan Loft - Prime Casino Location - Beach Views,"Treasure Island, Al Marjan Island, Ras Al Khaimah",2,3,2023-11-20 01:29:41+00:00,0.0,5242928,2023,11,November,Al Marjan Island
No commission/ DIP area /Higher ROI /Limited Units,"Verdana 2, Dubai Investment Park, Dubai",2,0,2024-03-10 08:29:11+00:00,903430662.0,248000,2024,3,March,Dubai Investment Park
Investor Deal | High ROI | Brand New,"AZIZI Riviera 12, Meydan One, Meydan, Dubai",2,0,2024-02-09 07:09:21+00:00,71140338748.0,700000,2024,2,February,Meydan
Best Corner Unit | Burj Khalifa and Canal View,"Peninsula Four, Peninsula, Business Bay, Dubai",2,3,2023-12-19 12:42:56+00:00,71444544037.0,4700000,2023,12,December,Business Bay
Fascinating Unit|Exciting Features|Invest Now,"Al Maryah Vista, Al Maryah Island, Abu Dhabi",2,0,2024-02-07 12:10:30+00:00,0.0,700000,2024,2,February,Al Maryah Island
1% per month_8-year PP_Private pool,"IVY Garden, Dubai Land, Dubai",2,0,2024-02-21 08:03:00+00:00,844783268.0,973879,2024,2,February,Dubai Land
Sea Side Living - 2 BR + Maids - Payment Plan with Visa,"Kahraman, Bab Al Bahar, Al Marjan Island, Ras Al Khaimah",2,3,2023-10-26 16:17:13+00:00,0.0,1900500,2023,10,October,Al Marjan Island
8 years Payment Plan | 15%Discount | Private Pool,"Samana Barari Views, Majan, Dubai",2,0,2024-03-16 04:17:32+00:00,1083252928.0,530000,2024,3,March,Majan
Modern Layout | Pool View | Smart Home,"Binghatti Crest, Jumeirah Village Circle, Dubai",2,3,2024-01-30 08:39:32+00:00,71446811313.0,1520000,2024,1,January,Jumeirah Village Circle
Partial Canal View| Alluring 3BR Unit| Good Deal,"Radiant Boulevard, City Of Lights, Al Reem Island, Abu Dhabi",2,3,2024-03-15 04:10:35+00:00,0.0,1095000,2024,3,March,Al Reem Island
Amazing Layout-Payment Plan-High Quality,"Terrazzo Residences, Jumeirah Village Circle, Dubai",2,3,2024-03-08 07:24:15+00:00,1678337573.0,2200000,2024,3,March,Jumeirah Village Circle
High ROI | Low Premium | Refined Neighborhood,"Reeman Living II, Al Shamkha, Abu Dhabi",2,3,2024-03-06 10:08:01+00:00,0.0,1120000,2024,3,March,Al Shamkha
Brand New | Best For Investment | Book Now,"Jumeirah Gate Tower 1, The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai",2,3,2024-03-07 07:12:55+00:00,7135254496.0,7500000,2024,3,March,Jumeirah Beach Residence
Amazing Location | Vacant | Investment Opportunity,"Al Jaz 1, Al Jaz, Greens, Dubai",2,3,2024-03-15 07:24:32+00:00,7115062900.0,2250000,2024,3,March,Greens
Brand New|3BR+Storage| Scenic View| Prime Location,"Radiant Square, City Of Lights, Al Reem Island, Abu Dhabi",2,3,2023-10-03 03:28:09+00:00,0.0,1156000,2023,10,October,Al Reem Island
FLEXIBLE PAYMENT PLAN \ PAY 5% \ NEW DOWN TOWN,"Tiraz, Naseej District, Aljada, Sharjah",2,0,2024-03-03 09:34:51+00:00,0.0,490000,2024,3,March,Aljada
Spacious 3BR| Prime Location| Brand New!,"Radiant Square, City Of Lights, Al Reem Island, Abu Dhabi",2,3,2023-11-03 09:23:57+00:00,0.0,1210000,2023,11,November,Al Reem Island
3 bedrooms | Dream apartment | full services |5%DP,"Rove Home, Aljada, Sharjah",2,3,2024-02-21 08:30:21+00:00,844783268.0,2608000,2024,2,February,Aljada
Prime Location | High ROI | Modern Design,"Azizi Venice, Dubai South (Dubai World Central), Dubai",2,0,2024-02-20 07:09:04+00:00,8470901.0,686000,2024,2,February,Dubai South (Dubai World Central)
JVT area ✅  20% discount ✅ 5 years PP✅  Higher ROI,"Red Square Tower, Jumeirah Village Triangle, Dubai",2,0,2024-03-13 09:07:50+00:00,536737727.0,400000,2024,3,March,Jumeirah Village Triangle
✅ Sea view✅ Freehold Ownership ✅ Fully Furnished ✅,"Oceanz 2, Oceanz by Danube, Maritime City, Dubai",2,0,2024-03-13 10:25:22+00:00,1139816602.0,980000,2024,3,March,Maritime City
1 % MONTHLY | FULLY FURNISHED | PRIME LOCATION,"Al Jawhara Residences, Jumeirah Village Triangle, Dubai",2,0,2024-03-13 08:08:15+00:00,753816018.0,620000,2024,3,March,Jumeirah Village Triangle
Beautiful pool view | Brand new |Business class,"UNA Apartments, Town Square, Dubai",2,0,2024-02-20 03:34:31+00:00,71147807246.0,489000,2024,2,February,Town Square
Handover soon | 3BR Apartment | 10% DP,"Azizi Amber, Al Furjan, Dubai",2,3,2024-03-08 13:38:08+00:00,1768407146.0,1684500,2024,3,March,Al Furjan
FULL BURJ VIEW | CORNER UNIT | HIGH FLOOR,"St Regis The Residences, Burj Khalifa Area, Downtown Dubai, Dubai",2,3,2023-12-27 08:42:22+00:00,71400444487.0,7480154,2023,12,December,Downtown Dubai
3BHK| SMART HOME| EASY PP |NO BANK|5%DP,"Darb 4, Al Mamsha, Muwaileh, Sharjah",2,3,2023-12-19 08:09:29+00:00,0.0,1590000,2023,12,December,Muwaileh
3BR Luxury Apartment at Arbor View Arjan,"Arbor View, Arjan, Dubai",2,3,2024-03-09 04:16:01+00:00,514458073.0,2566828,2024,3,March,Arjan
Private Pool | Semi-Furnished | Stunning View,"Elitz 3 by Danube, Jumeirah Village Circle, Dubai",2,3,2024-03-09 03:47:21+00:00,1853625519.0,2299000,2024,3,March,Jumeirah Village Circle
LUXURY 3 BHK | 8 YEARS PP |1%MONTHLY ONLY | 5% DP,"Darb 4, Al Mamsha, Muwaileh, Sharjah",2,3,2023-12-21 06:45:19+00:00,844783268.0,1545000,2023,12,December,Muwaileh
3BHK | LUXURY DESIGN | 5%DP |  EASY P.P | Book Now,"Nesba, Aljada, Sharjah",2,3,2023-11-30 16:18:03+00:00,844783268.0,2242000,2023,11,November,Aljada
3BHK Smart | Luxury Community |Pool View |Book Now,"Rove Home, Aljada, Sharjah",2,3,2023-11-30 13:18:03+00:00,844783268.0,2608000,2023,11,November,Aljada
3BR Apartment w/ Stunning View | Easy Payment Plan,"Azizi Central, Al Furjan, Dubai",2,3,2024-03-08 13:49:41+00:00,835840478.0,2573000,2024,3,March,Al Furjan
Near Wynn Casino |Great Investment |Beach Access,"Pacific Samoa, Pacific, Al Marjan Island, Ras Al Khaimah",2,0,2023-06-09 05:29:03+00:00,0.0,530000,2023,6,June,Al Marjan Island
Radiant Boulevard | High Floor | Hottest Deal,"Radiant Square, City Of Lights, Al Reem Island, Abu Dhabi",2,3,2024-03-04 04:04:55+00:00,0.0,1100000,2024,3,March,Al Reem Island
Fully Furnished | 10% DP | Easy Payment Plan,"Sportz by Danube, Dubai Sports City, Dubai",2,0,2024-03-16 04:09:03+00:00,413215049.0,630000,2024,3,March,Dubai Sports City
Ready & Furnished | 50-50 Payment Plan | Luxury...,"Al Jawhara Residences, Jumeirah Village Triangle, Dubai",2,0,2024-03-13 05:50:22+00:00,41537489.0,600000,2024,3,March,Jumeirah Village Triangle
Vacant | Good Quality 3BR Unit | Pool View,"Binghatti Crest, Jumeirah Village Circle, Dubai",2,3,2024-01-29 03:21:04+00:00,71446824158.0,1550000,2024,1,January,Jumeirah Village Circle
Pay 1% Monthly | 10% DP | Furnished Studio,"Oceanz 3, Oceanz by Danube, Maritime City, Dubai",2,0,2024-03-16 03:53:15+00:00,344452703.0,1180000,2024,3,March,Maritime City
10% D.P | near hand over 2024 | Down Town,"Tiraz, Naseej District, Aljada, Sharjah",2,0,2024-03-12 05:44:50+00:00,0.0,490000,2024,3,March,Aljada
Luxury Studio w/ Stunning View | Easy Payment Plan,"The Haven, Majan, Dubai",2,0,2024-03-15 17:42:04+00:00,1352548351.0,656000,2024,3,March,Majan
